date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctchg,isst,MACD,Signal,WMS(5),WMS(10),RSV,K,D,J,RSI(5),RSI(14),PSY(10),PSY(20),OBV,OBV(30)
2013-12-26,sz.399967,5941.8570,5941.857,5941.857,5941.857,0.0000,388390183.0,6133189779.0000,3,0.010192,1,0.000000,0,0.0,0.0,,,,,,,,,,,0.0,
2013-12-27,sz.399967,6114.4970,6114.497,6114.497,6114.497,5941.8570,547853256.0,7913309260.0000,3,0.014377,1,2.905475,0,13.771851851852261,2.7543703703704523,,,,,,,,,,,547853256.0,
2013-12-30,sz.399967,6127.1700,6127.17,6127.17,6127.17,6114.4970,475679504.0,7352742826.0000,3,0.012393,1,0.207275,0,25.415771657698315,7.286650627836026,,,,,,,,,,,1023532760.0,
2013-12-31,sz.399967,6095.3790,6131.114,6066.823,6096.022,6127.1700,357413564.0,5639265566.0000,3,0.009238,1,-0.508366,0,31.764121686122053,12.182144839493231,,,,,,,,,,,666119196.0,
2014-01-02,sz.399967,6086.2260,6180.558,6075.686,6177.756,6096.0220,393283942.0,6264244613.0000,3,0.010165,1,1.340774,0,42.896007073791225,18.324917286352832,1.1738534819710347,,,,,,89.55448615838627,,,,1059403138.0,
2014-01-03,sz.399967,6159.5630,6186.13,6100.712,6133.716,6177.7560,445395970.0,6972321362.0000,3,0.011512,1,-0.712881,0,47.61556392083912,24.18304661325009,43.93204086935373,,,,,,78.0303008166903,,,,614007168.0,
2014-01-06,sz.399967,6108.4330,6108.433,5910.47,5914.133,6133.7160,459605976.0,6277094189.0000,3,0.011880,1,-3.579926,0,33.25400231757703,25.99723775411548,98.67118914604964,,,,,,24.258051585649753,,,,154401192.0,
2014-01-07,sz.399967,5883.5950,5966.381,5864.703,5943.918,5914.1330,300904297.0,4379743560.0000,3,0.007778,1,0.503618,0,23.999114995162927,25.597613202324972,75.35521284770746,,,,,,27.44812818430185,,,,455305489.0,
2014-01-08,sz.399967,5962.9420,6086.988,5961.615,6057.757,5943.9180,452809962.0,7202588996.0000,3,0.011704,1,1.915216,0,25.555814500448832,25.589253461949745,39.93846192136959,,60.06153807863041,60.06153807863041,60.06153807863041,60.06153807863042,46.08727128456931,,,,908115451.0,
2014-01-09,sz.399967,6031.0940,6085.054,5913.747,5915.392,6057.7570,406248428.0,6620105270.0000,3,0.010500,1,-2.350123,0,15.127464374955707,23.49689564455094,84.23001179116893,84.23001179116893,15.769988208831071,33.48660815675081,44.11658012550265,12.22666421924714,26.131889405617017,,50.0,,501867023.0,
2014-01-10,sz.399967,5890.7290,5905.487,5762.04,5773.439,5915.3920,376241793.0,5161996870.0000,3,0.009725,1,-2.399717,0,-4.539174206271127,17.889681674386527,96.70922911259743,97.31212714282337,2.6878728571766226,18.897733541163035,32.170810690815465,-7.648420758141825,22.180456353036547,,50.0,,125625230.0,
2014-01-13,sz.399967,5785.5620,5839.264,5677.272,5717.424,5773.4390,326033052.0,4642829518.0000,3,0.008427,1,-0.970221,0,-24.364213844482038,9.438902570612814,90.20004100401253,92.10939004594601,7.890609954053986,14.325543743440816,24.758161343444456,-6.539691456566466,29.677016759753442,,40.0,,-200407822.0,
2014-01-14,sz.399967,5716.0820,5853.298,5695.745,5853.298,5717.4240,362092376.0,5301935368.0000,3,0.009352,1,2.376482,0,-28.780045881890146,1.7951128801122227,57.037069579904205,65.40763828022753,34.59236171977247,22.105696615871448,23.73991659020553,18.837256667203278,42.320937689603866,,40.0,,161684554.0,
2014-01-15,sz.399967,5845.6230,5986.317,5832.294,5949.597,5853.2980,492930576.0,7373951629.0000,3,0.012731,1,1.645215,0,-24.22979410627613,-3.4098685171654486,33.21799392812834,46.48310530639201,53.51689469360799,33.583773507435325,27.33699513289251,46.07733025652095,40.55381078975592,50.30282922309827,50.0,,654615130.0,
